Date : 2026-02-21 01:52:58
Directory : c:\Users\Ahmed\projects\CodeQuiz
Total : 501 files,  48599 codes, 2746 comments, 7311 blanks, all 58656 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Controllers\UsersController.cs                                             | C#                 |         47 |          1 |          6 |         54 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\AuthenticationException.cs                                      | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\EmailAlreadyRegisteredException.cs                              | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\InvalidCredentialsException.cs                                  | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\InvalidTokenException.cs                                        | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\UsernameNotAvailableException.cs                                | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Exceptions\WeakPasswordException.cs                                        | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\DTOs\UserDTO.cs                                                     | C#                 |         13 |          0 |          1 |         14 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\ForgetPasswordModel.cs                                              | C#                 |          7 |          0 |          1 |          8 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\LoginModel.cs                                                       | C#                 |          8 |          0 |          1 |          9 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\LoginResult.cs                                                      | C#                 |          9 |          0 |          2 |         11 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\RefreshToken.cs                                                     | C#                 |         13 |          0 |          2 |         15 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\RegisterModel.cs                                                    | C#                 |         11 |          0 |          1 |         12 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\ResetPasswordModel.cs                                               | C#                 |          7 |          0 |          1 |          8 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\ResetPasswordTnModel.cs                                             | C#                 |          8 |          0 |          1 |          9 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\TokenModel.cs                                                       | C#                 |          8 |          0 |          1 |          9 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Models\User.cs                                                             | C#                 |         42 |          0 |          5 |         47 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Repositories\IUsersRepository.cs                                           | C#                 |         11 |          0 |          2 |         13 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Repositories\UsersRepository.cs                                            | C#                 |         69 |          0 |          7 |         76 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Services\IAuthenticationService.cs                                         | C#                 |         14 |          0 |          2 |         16 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Services\ITokenService.cs                                                  | C#                 |         11 |          0 |          2 |         13 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Services\JWTAuthenticationService.cs                                       | C#                 |        149 |          7 |         29 |        185 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Authentication\Services\TokenService.cs                                                   | C#                 |         59 |          0 |          9 |         68 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\CodeQuizBackend.csproj                                                                    | XML                |         24 |          0 |          4 |         28 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Data\ApplicationDbContext.cs                                                         | C#                 |         40 |          2 |          6 |         48 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Data\Models\ApiResponse.cs                                                           | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Exceptions\BadRequestException.cs                                                    | C#                 |          6 |          0 |          1 |          7 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Exceptions\ForbiddenException.cs                                                     | C#                 |          6 |          0 |          1 |          7 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Exceptions\ResourceNotFoundException.cs                                              | C#                 |          6 |          0 |          1 |          7 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Exceptions\ServiceUnavailableException.cs                                            | C#                 |          6 |          0 |          1 |          7 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Exceptions\UnauthorizedException.cs                                                  | C#                 |          6 |          0 |          1 |          7 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Logging\AppLogger.cs                                                                 | C#                 |         19 |          0 |          4 |         23 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Logging\IAppLogger.cs                                                                | C#                 |         10 |          0 |          2 |         12 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Middlewares\ExceptionHandlingMiddleware.cs                                           | C#                 |         90 |          0 |          3 |         93 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\Ai\GroqModels.cs                                                            | C#                 |         36 |         15 |          5 |         56 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\Ai\GroqService.cs                                                           | C#                 |         92 |         13 |         19 |        124 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\Ai\GroqSettings.cs                                                          | C#                 |         11 |         19 |          5 |         35 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\Ai\IGroqService.cs                                                          | C#                 |          8 |         16 |          2 |         26 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\IMailService.cs                                                             | C#                 |         39 |         48 |          8 |         95 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Services\SmtpMailService.cs                                                          | C#                 |        334 |          2 |         34 |        370 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Core\Utils\SecureCodeGenerator.cs                                                         | C#                 |         15 |          0 |          3 |         18 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Dockerfile                                                                                | Docker             |          9 |          0 |          2 |         11 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Controllers\ExecutionController.cs                                              | C#                 |         30 |          0 |          3 |         33 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Exceptions\CodeRunnerException.cs                                               | C#                 |          6 |          0 |          1 |          7 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Exceptions\UnsupportedLanguageException.cs                                      | C#                 |          6 |          0 |          1 |          7 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\CodeRunnerOptions.cs                                                     | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\CodeRunnerResult.cs                                                      | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\EvaluationResult.cs                                                      | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\RunCodeRequest.cs                                                        | C#                 |         11 |          0 |          1 |         12 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\SandboxConfiguration.cs                                                  | C#                 |         20 |          0 |          4 |         24 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\SupportedLanguage.cs                                                     | C#                 |          8 |          0 |          1 |          9 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Models\TestCase.cs                                                              | C#                 |          9 |          0 |          1 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\CSharpCodeRunner.cs                                                    | C#                 |         71 |          0 |         13 |         84 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\CodeRunnerDecorator.cs                                                 | C#                 |         14 |          0 |          3 |         17 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\CodeRunnerFactory.cs                                                   | C#                 |         21 |          0 |          4 |         25 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\DockerSandbox.cs                                                       | C#                 |        100 |         17 |         17 |        134 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\Evaluator.cs                                                           | C#                 |         23 |          0 |          3 |         26 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\ICodeRunner.cs                                                         | C#                 |         10 |          0 |          2 |         12 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\ICodeRunnerFactory.cs                                                  | C#                 |         10 |          0 |          3 |         13 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\IDockerSandbox.cs                                                      | C#                 |         26 |          0 |          3 |         29 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\IEvaluator.cs                                                          | C#                 |          8 |          0 |          2 |         10 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\PythonCodeRunner.cs                                                    | C#                 |         70 |          0 |         11 |         81 |
| c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Execution\Services\SandboxedCodeRunner.cs                                                 | C#                 |         61 |          3 |          7 |         71 |
