"filename", "language", "Markdown", "Ignore", "JSON", "JSON with Comments", "TypeScript", "HTML", "SCSS", "YAML", "C#", "XML", "XAML", "Docker", "comment", "blank", "total"
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20260122190025_AttemptExaminerFeedback.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 541, 0, 0, 0, 2, 209, 752
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\20260122190025_AttemptExaminerFeedback.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 4, 30
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Migrations\ApplicationDbContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 539, 0, 0, 0, 1, 209, 749
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 17, 35, 262
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Properties\launchSettings.json", "JSON", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Controllers\AiController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 21, 10, 78
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Controllers\AttemptsController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 25, 13, 162
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Controllers\QuizzesController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 18, 12, 138
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Exceptions\AttemptNotSubmittedException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Exceptions\DeadlineExceededException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 1, 11
